score,at,content
3,2025 09 07 08 37 15,heran barang cod diutamain tapi barang sudah dibayar leled ngirimnya
5,2025 09 07 08 17 35,paketnya memuaskan dan cod
1,2025 09 07 07 35 44,shopee cod clash or duel jir
5,2025 09 07 06 51 02,sukak belanja gausa keluar cod aja
5,2025 09 07 03 44 21,metode pembayaran untuk cod kenapa tidak bisa lagi pada aplikasi saya kemarin kemarin masih bisa tapi kenapa sekarang menu untuk codnya tidak bisa di pilih yang ada saya harus membayar selain cod yaitu shopeepay dan bank bank
1,2025 09 07 03 11 32,di shopee pengiriman barang datang lama sekali kalah sama tokopedia lebih cepat dan tepat waktu sekali datang selalu malam coba kalau cod pasti di dulu kan
1,2025 09 07 02 32 50,aplikator parah tidak peduli terhadap sebagian konsumen kamarin saya pernah order food orderan pertama dan kedua bisa order dengan opsi tunai cod terus beberapa hari kemudian saya order food ditolak harus bayar dulu melalui shopee pay padahal kemarin saya urgent alasan dari aplikator tidak jelas padahal orang sudah lapar kalau bisa pakai aplikasi hijau saja teman teman terserah yang mana saya ada bukti bahwasanya orderan saya ditolak
5,2025 09 06 22 07 55,memudahkan pembelian dalam pesan apa lagi seharusnya semua pilihan bisa cod aku sangat setuju trimakasih shopee semoga shopee tambah sukses
1,2025 09 06 21 06 19,kok punya saya ga bisa cod ya bukan punya saya doang si yang lain nya juga pastinya ga bisa
5,2025 09 06 20 51 02,sopi ga bisa cod mohon bantuaya
5,2025 09 06 19 38 27,saya sangat suka belanja di shopee karna menurutku ongkir masih lumayan murah tapi akhir ini nggak bisa cod kenapa ya padahal saya nggak pernah kensel barang tolong dong seller di bikin lagi supaya bisa cod
5,2025 09 06 19 05 16,tolong dong supaya akun shopy bisa cod lgi
5,2025 09 06 18 53 54,mohon bantuan nya akun saya tidak bisa melakukan prmbayaran cod
5,2025 09 06 18 18 57,kenapa pembayaran cod di batasi ya kak suruh pilih metode pembayaran lain mohon infonya kak
5,2025 09 06 17 29 38,shopee emang hebat shopee tiada duanya shopee adalah aplikasi yang menawarkan platform e commerce terdepan di asia tenggara menyediakan tempat untuk jual beli online yang mudah aman dan terpercaya dengan beragam fitur seperti gratis ongkir diskon dan metode pembayaran lengkap termasuk cod cash on delivery aplikasi ini memudahkan pengguna untuk menemukan berbagai produk berkualitas mendukung umkm serta menyediakan layanan pinjaman instan dan berbagai penawaran menarik lainnya
2,2025 09 06 16 52 24,shoope ngtdd apaan bgt ajg ga bisa cod harus pakai pembayaran transfer baru bisaa shoppe banyak berubah nya ngtdd orang mah kalau gabisa cod ya minimal seminggu kek inimah permanen anjg trs gua mau beli dimana selain di shoope udah lama ga pesen pakai shoope huhu kgn bgt
3,2025 09 06 16 38 36,shoppe sekarang eror banget gak bisa cod tanya ke cs bilang toko yang tempat beli tidak mengaktifkan layanan cod padahal toko udah di chat bilangnya layanan cod nya aktif dan ini gak hanya satu toko itu saja tanya lagi ke cs bilang alamat nya tidak memenuhi syarat aku ganti ke alamat rumah yang di pusat kota pun tetap aja gak bisa cod tolong shoppe kalau eror tolong di perbaiki lagi
5,2025 09 06 16 13 35,mohon di perbaiki untuk pembayaran cod kadang sering untuk pembayaran cod bermsalah wlaupun nggak ada pelanggaran seperti penolakan paket sistem cod nggak bisa di gunakan kalo soal yg lain dari pengiriman barang cukup baik
1,2025 09 06 15 14 49,saya gak bisa cod lagi gara gara bukan saya yang membatalkan pesanan tapi saya yang kena langsung gak bisa cod lagi padahal pihak shopee yang membatalkan
5,2025 09 06 15 01 25,aplikasi blanja yang terbaik karena bisa cod cek duluh insyaallah shoppe makin sukses mantap
1,2025 09 06 14 37 39,najisss gak jelas banget ajg sama sekali gak ada masalah dengan paket dibayar juga setiap beli tapi tiba tiba cod nya gak bisa dipakai tanpa keterangan gak jelas
5,2025 09 06 14 10 11,mempermudah shoping harusnya bisa dibikin cod semua
1,2025 09 06 13 50 28,tidak bisa cod
3,2025 09 06 10 13 57,biasanya cod bisa tapi beberapa hari ini kenapa cod nya tidak bisa lagi
1,2025 09 06 09 53 40,sebel bngt cod gk dapet potongan harga jadinya bayar mahal
2,2025 09 06 09 41 23,tolong pihak shopee jagan kesalahan konsumen kami kembalikan barang karna tidak sesuai barang di kirim kalau barang sesuai kami tidak akan kembalikan sebenarnya kesalahan pengirim karna kesalahan pengirim jadi kami tidak bisa lagi cod
1,2025 09 06 09 08 48,shopee kenapa ka eror padahal jaringan lancar dan pas saya mau beli di tulis bisa cod pas sy cek gak bisa cod semuanya
3,2025 09 06 05 40 27,kenapaa ya shopee ini gak bisa cod
1,2025 09 06 00 06 45,najiss metode cod di disable kurir yang goblock mlh akun sya mode terbatas uninstal saja ni apk
4,2025 09 05 21 15 42,semoga tidak dibatasinya lagi cod
4,2025 09 05 20 56 19,kecewa aja sekian lama pesan barang dengan cod lancar sekarang tidak bisa lagi
5,2025 09 05 20 16 29,barang sangat di rekomendasi kan mau cod barang bisa kembali kalo tidak sesuai
1,2025 09 05 19 54 56,gabisa cod
5,2025 09 05 19 45 41,knapa aplikasi ini tdak bsa cod kha
1,2025 09 05 19 29 05,gatel udah ngirim gak nyampek nyampek akun ku pulak yang gak bisa cod gatel shopee kalok ngirim nyampek dulu kalok gak di ambil baru laa gak bisaa cod longor longor
4,2025 09 05 18 43 15,ongkirnya lumayan promo cod cek dulu tolong ditingkatkan
5,2025 09 05 18 42 01,selama pembelian barang di shopee aman aman saja sesuai pesanan apalagi ada cod buka dulu lebih mantap
4,2025 09 05 18 19 22,untuk apknya lumayan baik sangat membantu banyak promo dan sudah pasti gratis ongkir dan mendukung cod cuman kadang pengguna toko masih ada yg tidak jujur dgn paket yg dikirimkan tidak sesuai dgn foto atau video dan untuk jasa kirim juga masih banyak yg kurang baik dalam menyortir paket yg dikirimkan banyak kejadian paket rusak patah bahkan sampai pecah
3,2025 09 05 17 42 57,kok gk bisa cod
5,2025 09 05 13 04 46,bagus ada sistem pembayaran cod dan qris
